,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
0,060310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시
1,095570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시
2,006840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시
3,054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도
4,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도
5,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시
6,152100,KOSPI,ARIRANG 200,,,,,,,
7,295820,KOSPI,ARIRANG 200동일가중,,,,,,,
8,253150,KOSPI,ARIRANG 200선물레버리지,,,,,,,
9,253160,KOSPI,ARIRANG 200선물인버스2X,,,,,,,
10,395750,KOSPI,ARIRANG ESG가치주액티브,,,,,,,
11,395760,KOSPI,ARIRANG ESG성장주액티브,,,,,,,
12,278420,KOSPI,ARIRANG ESG우수기업,,,,,,,
13,292750,KOSPI,ARIRANG KRX300,,,,,,,
14,309210,KOSPI,ARIRANG KRX300헬스케어,,,,,,,
15,333940,KOSPI,ARIRANG KS로우볼가중TR,,,,,,,
16,333950,KOSPI,ARIRANG KS로우사이즈가중TR,,,,,,,
17,333960,KOSPI,ARIRANG KS모멘텀가중TR,,,,,,,
18,333970,KOSPI,ARIRANG KS밸류가중TR,,,,,,,
19,333980,KOSPI,ARIRANG KS퀄리티가중TR,,,,,,,
20,269530,KOSPI,ARIRANG S&P글로벌인프라,,,,,,,
21,251590,KOSPI,ARIRANG 고배당저변동50,,,,,,,
22,161510,KOSPI,ARIRANG 고배당주,,,,,,,
23,251600,KOSPI,ARIRANG 고배당주채권혼합,,,,,,,
24,289670,KOSPI,ARIRANG 국채선물10년,,,,,,,
25,298340,KOSPI,ARIRANG 국채선물3년,,,,,,,
26,189400,KOSPI,ARIRANG 글로벌MSCI(합성 H),,,,,,,
27,278620,KOSPI,ARIRANG 단기채권액티브,,,,,,,
28,269540,KOSPI,ARIRANG 미국S&P500(H),,,,,,,
29,287180,KOSPI,ARIRANG 미국나스닥기술주,,,,,,,
30,213630,KOSPI,ARIRANG 미국다우존스고배당주(합성 H),,,,,,,
31,332610,KOSPI,ARIRANG 미국단기우량회사채,,,,,,,
32,332620,KOSPI,ARIRANG 미국장기우량회사채,,,,,,,
33,195970,KOSPI,ARIRANG 선진국MSCI(합성 H),,,,,,,
34,238670,KOSPI,ARIRANG 스마트베타Quality채권혼합,,,,,,,
35,195980,KOSPI,ARIRANG 신흥국MSCI(합성 H),,,,,,,
36,373530,KOSPI,ARIRANG 신흥국MSCI인버스(합성 H),,,,,,,
37,256450,KOSPI,ARIRANG 심천차이넥스트(합성),,,,,,,
38,239660,KOSPI,ARIRANG 우량회사채50 1년,,,,,,,
39,280920,KOSPI,ARIRANG 주도업종,,,,,,,
40,266550,KOSPI,ARIRANG 중형주저변동50,,,,,,,
41,301400,KOSPI,ARIRANG 코스닥150,,,,,,,
42,301410,KOSPI,ARIRANG 코스닥150선물인버스,,,,,,,
43,227830,KOSPI,ARIRANG 코스피,,,,,,,
44,122090,KOSPI,ARIRANG 코스피50,,,,,,,
45,328370,KOSPI,ARIRANG 코스피TR,,,,,,,
46,301440,KOSPI,ARIRANG 코스피중형주,,,,,,,
47,376250,KOSPI,ARIRANG 탄소효율그린뉴딜,,,,,,,
48,027410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
49,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시
50,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시
51,001460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시
52,001465,KOSPI,BYC우,,,,,,,
53,013720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시
54,001040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
55,079160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시
56,035760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시
57,00104K,KOSPI,CJ4우(전환),,,,,,,
58,000120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시
59,011150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도
60,011155,KOSPI,CJ씨푸드1우,,,,,,,
61,001045,KOSPI,CJ우,,,,,,,
62,097950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시
63,097955,KOSPI,CJ제일제당 우,,,,,,,
64,051500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도
65,058820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시
66,023460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도
67,056730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,김경덕,http://www.cnt85.com,경기도
68,056000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시
69,065770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도
70,083660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시
71,000590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도
72,012030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
73,367340,KOSDAQ,DB금융스팩8호,기타 금융업,기업인수 및 합병,2020-12-09,12월,홍창배,,서울특별시
74,367360,KOSDAQ,DB금융스팩9호,금융 지원 서비스업,기업인수 및 합병,2021-03-16,12월,김창희,,서울특별시
75,016610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시
76,005830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시
77,000990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도
78,000995,KOSPI,DB하이텍1우,,,,,,,
79,139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시
80,001530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
81,000210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,배원복,http://www.dlholdings.co.kr,서울특별시
82,001880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시
83,000215,KOSPI,DL우,,,,,,,
84,375500,KOSPI,DL이앤씨,토목 건설업,토목 건설 사업,2021-01-25,12월,마창민,,서울특별시
85,37550K,KOSPI,DL이앤씨우,,,,,,,
86,068790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도
87,004840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시
88,241520,KOSDAQ,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시
89,155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
90,069730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도
91,017940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 구동휘, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시
92,245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"각자대표이사 신상철, 이민섭",http://www.edgc.com,인천광역시
93,037370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도
94,278990,KONEX,EMB,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",2017-10-31,12월,홍지태,http://www.fineemtech.co.kr,경기도
95,079190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시
96,365550,KOSPI,ESR켄달스퀘어리츠,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,박래익,http://www.esrks-reit.com,서울특별시
97,050120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,신희민,http://www.escube.co.kr,서울특별시
98,383220,KOSPI,F&F,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시
99,007700,KOSPI,F&F홀딩스,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnf.co.kr,서울특별시
100,285690,KOSPI,FOCUS ESG리더스,,,,,,,
101,292730,KOSPI,FOCUS KRX300,,,,,,,
102,73501BB4,KOSPI,GB국민참여정책형뉴딜A,,,,,,,
103,73502BB4,KOSPI,GB국민참여정책형뉴딜C,,,,,,,
104,73503BB4,KOSPI,GB국민참여정책형뉴딜I,,,,,,,
105,73501BA2,KOSPI,GB중소성장기업A,,,,,,,
106,73502BA2,KOSPI,GB중소성장기업C,,,,,,,
107,73503BA2,KOSPI,GB중소성장기업I,,,,,,,
108,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.gumho-nt.com,경상북도
109,114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,유태열,http://www.grandkorea.com,서울특별시
110,900290,KOSDAQ,GRT,기타 금융업,"광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩
111,078930,KOSPI,GS,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
112,083450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도
113,006360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
114,001250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김태형,http://www.gsgcorp.com,서울특별시
115,007070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시
116,078935,KOSPI,GS우,,,,,,,
117,045890,KOSDAQ,GV,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",2005-11-28,12월,"김철현,김정수(각자 대표이사)",http://www.fawoo.co.kr,경기도
118,293180,KOSPI,HANARO 200,,,,,,,
119,332930,KOSPI,HANARO 200TR,,,,,,,
120,304780,KOSPI,HANARO 200선물레버리지,,,,,,,
121,306520,KOSPI,HANARO 200선물인버스,,,,,,,
122,395290,KOSPI,HANARO Fn K-POP&미디어,,,,,,,
123,395280,KOSPI,HANARO Fn K-게임,,,,,,,
124,368190,KOSPI,HANARO Fn K-뉴딜디지털플러스,,,,,,,
125,395270,KOSPI,HANARO Fn K-반도체,,,,,,,
126,367740,KOSPI,HANARO Fn5G산업,,,,,,,
127,381560,KOSPI,HANARO Fn전기&수소차,,,,,,,
128,381570,KOSPI,HANARO Fn친환경에너지,,,,,,,
129,346000,KOSPI,HANARO KAP초장기국고채,,,,,,,
130,304760,KOSPI,HANARO KRX300,,,,,,,
131,332940,KOSPI,HANARO MSCI Korea TR,,,,,,,
132,322400,KOSPI,HANARO e커머스,,,,,,,
133,322410,KOSPI,HANARO 고배당,,,,,,,
134,354350,KOSPI,HANARO 글로벌럭셔리S&P(합성),,,,,,,
135,314700,KOSPI,HANARO 농업융복합산업,,,,,,,
136,390950,KOSPI,HANARO 단기채권액티브,,,,,,,
137,304770,KOSPI,HANARO 코스닥150,,,,,,,
138,306530,KOSPI,HANARO 코스닥150선물레버리지,,,,,,,
139,375760,KOSPI,HANARO 탄소효율그린뉴딜,,,,,,,
140,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.letkr.com,충청남도
141,078150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도
142,012630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시
143,039570,KOSPI,HDC아이콘트롤스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,김성은,http://www.icontrols.co.kr,경기도
144,089470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hdc-hyundaiep.com/,충청남도
145,294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구",http://www.hdc-dvp.com,서울특별시
146,391670,KOSPI,HK 베스트일레븐액티브,,,,,,,
147,391680,KOSPI,HK 하이볼액티브,,,,,,,
148,011200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시
149,036640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도
150,082740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도
151,75801BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 A,,,,,,,
152,75802BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 C,,,,,,,
153,335870,KOSDAQ,IBKS제12호스팩,금융 지원 서비스업,기타 금융업,2019-12-09,12월,이준규,,서울특별시
154,351340,KOSDAQ,IBKS제13호스팩,금융 지원 서비스업,기업인수 및 합병,2020-07-15,12월,김강민,,서울특별시
155,351320,KOSDAQ,IBKS제14호스팩,기타 금융업,기업인수목적회사,2020-06-22,12월,이동헌,해당없음,서울특별시
156,373200,KOSDAQ,IBKS제15호스팩,금융 지원 서비스업,기업 인수 합병,2021-02-26,12월,박광열,,서울특별시
157,003560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시
158,095340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,"정종태, 김정렬 (각자 대표이사)",http://isc21.kr,경기도
159,099520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열, 유건상 (각자 대표이사)",http://www.itxsecurity.com,서울특별시
160,175330,KOSPI,JB금융지주,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
161,950170,KOSDAQ,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,구철모,http://www.groupjtc.com/korean/,일본
162,234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
163,067290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,백승호,http://www.cwsy.co.kr,서울특별시
164,001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭, 이성열(각자 대표이사)",http://www.jw-pharma.co.kr,서울특별시
165,001067,KOSPI,JW중외제약2우B,,,,,,,
166,001065,KOSPI,JW중외제약우,,,,,,,
167,096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
168,035900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시
169,580011,KOSPI,KB FnGuide 언택트 ETN,,,,,,,
170,580013,KOSPI,KB KRX ESG Eco ETN,,,,,,,
171,580012,KOSPI,KB KRX300 ETN,,,,,,,
172,580010,KOSPI,KB Wise 분할매매 ETN,,,,,,,
173,580016,KOSPI,KB 레버리지 S&P 500 선물 ETN(H),,,,,,,
174,580015,KOSPI,KB 레버리지 나스닥 100 ETN,,,,,,,
175,580018,KOSPI,KB 레버리지 항셍테크 선물 ETN(H),,,,,,,
176,71901B96,KOSPI,KB 와이즈 스타 부동산 자 2 A,,,,,,,
177,71902B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-F,,,,,,,
178,71903B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-I,,,,,,,
179,580017,KOSPI,KB 인버스 2X S&P 500 선물 ETN,,,,,,,
180,580014,KOSPI,KB 인버스 2X 나스닥 100 ETN,,,,,,,
181,580019,KOSPI,KB 인버스 2X 항셍테크 선물 ETN,,,,,,,
182,580021,KOSPI,KB 인버스 천연가스 선물 ETN,,,,,,,
183,580020,KOSPI,KB 천연가스 선물 ETN(H),,,,,,,
184,58FG44,KOSPI,KBFG44KOSPI200콜,,,,,,,
185,58FG45,KOSPI,KBFG45KOSPI200콜,,,,,,,
186,58FG46,KOSPI,KBFG46KOSPI200콜,,,,,,,
187,58FG47,KOSPI,KBFG47KOSPI200콜,,,,,,,
188,58FG48,KOSPI,KBFG48KOSPI200콜,,,,,,,
189,58FG49,KOSPI,KBFG49KOSPI200콜,,,,,,,
190,58FG50,KOSPI,KBFG50KOSPI200콜,,,,,,,
191,58FG51,KOSPI,KBFG51KOSPI200콜,,,,,,,
192,58FG52,KOSPI,KBFG52KOSPI200콜,,,,,,,
193,58FG53,KOSPI,KBFG53KOSPI200콜,,,,,,,
194,58FG54,KOSPI,KBFG54KOSPI200풋,,,,,,,
195,58FG55,KOSPI,KBFG55KOSPI200풋,,,,,,,
196,58FG56,KOSPI,KBFG56KOSPI200풋,,,,,,,
197,58FG57,KOSPI,KBFG57KOSPI200풋,,,,,,,
198,58FG58,KOSPI,KBFG58KOSPI200풋,,,,,,,
199,58FG59,KOSPI,KBFG59KOSPI200풋,,,,,,,
200,58FG60,KOSPI,KBFG60KOSPI200풋,,,,,,,
201,58FG61,KOSPI,KBFG61KOSPI200풋,,,,,,,
202,58FG62,KOSPI,KBFG62KOSPI200풋,,,,,,,
203,58FG63,KOSPI,KBFG63KOSPI200풋,,,,,,,
204,58FH85,KOSPI,KBFH85삼성전자콜,,,,,,,
205,58FH86,KOSPI,KBFH86현대차콜,,,,,,,
206,58G170,KOSPI,KBG170엘지전자콜,,,,,,,
207,58G171,KOSPI,KBG171LG화학콜,,,,,,,
208,58G172,KOSPI,KBG172SK하이닉콜,,,,,,,
209,58G173,KOSPI,KBG173삼성SDI콜,,,,,,,
210,58G174,KOSPI,KBG174삼성전자콜,,,,,,,
211,58G175,KOSPI,KBG175삼성전자콜,,,,,,,
212,58G176,KOSPI,KBG176삼성전자풋,,,,,,,
213,58G177,KOSPI,KBG177셀트리온콜,,,,,,,
214,58G178,KOSPI,KBG178신한지주콜,,,,,,,
215,58G179,KOSPI,KBG179카카오콜,,,,,,,
216,58G180,KOSPI,KBG180하나금융콜,,,,,,,
217,58G181,KOSPI,KBG181현대차콜,,,,,,,
218,58G182,KOSPI,KBG182현대차콜,,,,,,,
219,58G183,KOSPI,KBG183엘지전자콜,,,,,,,
220,58G184,KOSPI,KBG184LG화학콜,,,,,,,
221,58G185,KOSPI,KBG185SK하이닉콜,,,,,,,
222,58G186,KOSPI,KBG186삼성SDI콜,,,,,,,
223,58G187,KOSPI,KBG187삼성전자콜,,,,,,,
224,58G188,KOSPI,KBG188삼성전자콜,,,,,,,
225,58G189,KOSPI,KBG189셀트리온콜,,,,,,,
226,58G190,KOSPI,KBG190카카오콜,,,,,,,
227,58G191,KOSPI,KBG191현대차콜,,,,,,,
228,58G192,KOSPI,KBG192LG화학콜,,,,,,,
229,58G193,KOSPI,KBG193SK하이닉콜,,,,,,,
230,58G194,KOSPI,KBG194삼성전자콜,,,,,,,
231,58G195,KOSPI,KBG195현대차콜,,,,,,,
232,58G196,KOSPI,KBG196삼성전자콜,,,,,,,
233,58G325,KOSPI,KBG325KOSPI200콜,,,,,,,
234,58G326,KOSPI,KBG326KOSPI200콜,,,,,,,
235,58G327,KOSPI,KBG327KOSPI200콜,,,,,,,
236,58G328,KOSPI,KBG328KOSPI200콜,,,,,,,
237,58G329,KOSPI,KBG329KOSPI200콜,,,,,,,
238,58G330,KOSPI,KBG330KOSPI200콜,,,,,,,
239,58G331,KOSPI,KBG331KOSPI200콜,,,,,,,
240,58G332,KOSPI,KBG332KOSPI200콜,,,,,,,
241,58G333,KOSPI,KBG333KOSPI200콜,,,,,,,
242,58G334,KOSPI,KBG334KOSPI200콜,,,,,,,
243,58G335,KOSPI,KBG335KOSPI200콜,,,,,,,
244,58G336,KOSPI,KBG336KOSPI200콜,,,,,,,
245,58G337,KOSPI,KBG337KOSPI200콜,,,,,,,
246,58G338,KOSPI,KBG338KOSPI200콜,,,,,,,
247,58G340,KOSPI,KBG340엘지전자콜,,,,,,,
248,58G343,KOSPI,KBG343LG화학콜,,,,,,,
249,58G346,KOSPI,KBG346네이버콜,,,,,,,
250,58G347,KOSPI,KBG347네이버풋,,,,,,,
251,58G353,KOSPI,KBG353SK텔레콤콜,,,,,,,
252,58G355,KOSPI,KBG355SK하이닉콜,,,,,,,
253,58G356,KOSPI,KBG356SK하이닉콜,,,,,,,
254,58G359,KOSPI,KBG359기아풋,,,,,,,
255,58G371,KOSPI,KBG371삼성중콜,,,,,,,
256,58G374,KOSPI,KBG374하나금융콜,,,,,,,
257,58G378,KOSPI,KBG378모비스콜,,,,,,,
258,58G379,KOSPI,KBG379현대차콜,,,,,,,
259,58G382,KOSPI,KBG382POSCO콜,,,,,,,
260,58G385,KOSPI,KBG385삼성전자콜,,,,,,,
261,58G386,KOSPI,KBG386삼성전자콜,,,,,,,
262,58G387,KOSPI,KBG387삼성전자콜,,,,,,,
263,58G388,KOSPI,KBG388삼성전자콜,,,,,,,
264,58G395,KOSPI,KBG395신한지주풋,,,,,,,
265,58G397,KOSPI,KBG397한국전력콜,,,,,,,
266,58G417,KOSPI,KBG417KOSPI200콜,,,,,,,
267,58G418,KOSPI,KBG418KOSPI200콜,,,,,,,
268,58G419,KOSPI,KBG419KOSPI200콜,,,,,,,
269,58G420,KOSPI,KBG420KOSPI200콜,,,,,,,
270,58G421,KOSPI,KBG421KOSPI200콜,,,,,,,
271,58G422,KOSPI,KBG422KOSPI200콜,,,,,,,
272,58G423,KOSPI,KBG423KOSPI200콜,,,,,,,
273,58G424,KOSPI,KBG424KOSPI200콜,,,,,,,
274,58G425,KOSPI,KBG425KOSPI200콜,,,,,,,
275,58G426,KOSPI,KBG426KOSPI200콜,,,,,,,
276,58G427,KOSPI,KBG427KOSPI200콜,,,,,,,
277,58G428,KOSPI,KBG428KOSPI200콜,,,,,,,
278,58G429,KOSPI,KBG429KOSPI200콜,,,,,,,
279,58G430,KOSPI,KBG430KOSPI200콜,,,,,,,
280,58G431,KOSPI,KBG431KOSPI200콜,,,,,,,
281,58G432,KOSPI,KBG432KOSPI200콜,,,,,,,
282,58G433,KOSPI,KBG433KOSPI200콜,,,,,,,
283,58G434,KOSPI,KBG434KOSPI200콜,,,,,,,
284,58G435,KOSPI,KBG435KOSPI200콜,,,,,,,
285,58G436,KOSPI,KBG436KOSPI200콜,,,,,,,
286,58G437,KOSPI,KBG437KOSPI200콜,,,,,,,
287,58G438,KOSPI,KBG438KOSPI200콜,,,,,,,
288,58G439,KOSPI,KBG439KOSPI200콜,,,,,,,
289,58G440,KOSPI,KBG440KOSPI200콜,,,,,,,
290,58G441,KOSPI,KBG441KOSPI200콜,,,,,,,
291,58G442,KOSPI,KBG442KOSPI200콜,,,,,,,
292,58G538,KOSPI,KBG538LG생건콜,,,,,,,
293,58G540,KOSPI,KBG540LG화학콜,,,,,,,
294,58G541,KOSPI,KBG541네이버콜,,,,,,,
295,58G542,KOSPI,KBG542네이버콜,,,,,,,
